Trial,A,W,Direction,Method,MT,Result
7,0.6,0.18,1,Touch,0.8372746,HIT
8,0.3,0.1,-1,Pinch,5.004025,MISS
0,0.3,0.1,-1,Pinch,5.013353,MISS
1,0.6,0.1,-1,Touch,2.266644,HIT
2,0.3,0.18,-1,Pinch,5.001543,MISS
3,0.6,0.18,-1,Touch,1.018456,HIT
4,0.3,0.1,1,Pinch,5.009333,MISS
5,0.6,0.1,1,Touch,1.390665,HIT
6,0.3,0.18,1,Pinch,5.013151,MISS
7,0.6,0.18,1,Touch,1.226847,HIT
8,0.3,0.1,-1,Pinch,5.0093,MISS
9,0.6,0.1,-1,Touch,5.008568,MISS
10,0.3,0.18,-1,Pinch,5.003956,MISS
0,0.3,0.1,-1,Pinch,5.01394,MISS
1,0.6,0.1,-1,Touch,2.286057,HIT
2,0.3,0.18,-1,Pinch,5.009431,MISS
3,0.6,0.18,-1,Touch,1.570567,HIT
4,0.3,0.1,1,Pinch,5.011972,MISS
5,0.6,0.1,1,Touch,1.948025,HIT
6,0.3,0.18,1,Pinch,5.003035,MISS
7,0.6,0.18,1,Touch,1.016964,HIT
8,0.3,0.1,-1,Pinch,5.010237,MISS
9,0.6,0.1,-1,Touch,1.26976,HIT
10,0.3,0.18,-1,Pinch,5.007885,MISS
11,0.6,0.18,-1,Touch,0.8921127,HIT
12,0.3,0.1,1,Pinch,5.011749,MISS
0,0.3,0.1,-1,Pinch,5.008898,MISS
1,0.6,0.1,-1,Touch,1.0111,HIT
2,0.3,0.18,-1,Pinch,5.003707,MISS
3,0.6,0.18,-1,Touch,0.9962902,HIT
4,0.3,0.1,1,Pinch,5.003787,MISS
5,0.6,0.1,1,Touch,1.016211,HIT
6,0.3,0.18,1,Pinch,5.011377,MISS
7,0.6,0.18,1,Touch,1.30862,HIT
8,0.3,0.1,-1,Pinch,5.011644,MISS
9,0.6,0.1,-1,Touch,2.608353,HIT
10,0.3,0.18,-1,Pinch,5.006191,MISS
11,0.6,0.18,-1,Touch,1.433807,HIT
12,0.3,0.1,1,Pinch,5.011292,MISS
13,0.6,0.1,1,Touch,1.268707,HIT
14,0.3,0.18,1,Pinch,5.009727,MISS
15,0.6,0.18,1,Touch,5.000557,MISS
0,0.3,0.1,-1,Pinch,5.002648,MISS
1,0.6,0.1,-1,Touch,5.004208,MISS
2,0.3,0.18,-1,Pinch,5.00289,MISS
3,0.6,0.18,-1,Touch,5.005589,MISS
0,0.3,0.1,-1,Pinch,5.00278,MISS
0,0.3,0.1,-1,Pinch,3.109757,HIT
1,0.6,0.1,-1,Touch,1.370242,HIT
2,0.3,0.18,-1,Pinch,5.000041,MISS
3,0.6,0.18,-1,Touch,1.639956,HIT
4,0.3,0.1,1,Pinch,5.001388,MISS
5,0.6,0.1,1,Touch,0.8786106,HIT
6,0.3,0.18,1,Pinch,5.01025,MISS
7,0.6,0.18,1,Touch,0.7697468,HIT
8,0.3,0.1,-1,Pinch,5.007982,MISS
9,0.6,0.1,-1,Touch,0.792017,HIT
10,0.3,0.18,-1,Pinch,5.012993,MISS
11,0.6,0.18,-1,Touch,0.7870064,HIT
12,0.3,0.1,1,Pinch,5.004265,MISS
13,0.6,0.1,1,Touch,1.035732,HIT
14,0.3,0.18,1,Pinch,5.006435,MISS
15,0.6,0.18,1,Touch,0.7535629,HIT
16,0.3,0.1,-1,Pinch,5.010567,MISS
17,0.6,0.1,-1,Touch,0.9294281,HIT
18,0.3,0.18,-1,Pinch,5.001118,MISS
0,0.3,0.1,-1,Pinch,4.820364,HIT
1,0.6,0.1,-1,Touch,1.339634,HIT
2,0.3,0.18,-1,Pinch,5.012167,MISS
3,0.6,0.18,-1,Touch,0.6878309,HIT
4,0.3,0.1,1,Pinch,5.006261,MISS
0,0.3,0.1,-1,Pinch,2.956235,HIT
1,0.6,0.1,-1,Touch,0.9837639,HIT
2,0.3,0.18,-1,Pinch,5.006799,MISS
0,0.3,0.1,-1,Pinch,2.605478,HIT
1,0.6,0.1,-1,Touch,1.49452,HIT
2,0.3,0.18,-1,Pinch,5.008987,MISS
3,0.6,0.18,-1,Touch,0.671011,HIT
4,0.3,0.1,1,Pinch,5.008713,MISS
5,0.6,0.1,1,Touch,5.001949,MISS
0,0.3,0.1,-1,Pinch,5.003478,MISS
1,0.6,0.1,-1,Touch,5.012092,MISS
2,0.3,0.18,-1,Pinch,5.012819,MISS
0,0.3,0.1,-1,Pinch,5.000873,MISS
1,0.6,0.1,-1,Touch,3.399124,HIT
2,0.3,0.18,-1,Pinch,0.9719343,HIT
3,0.6,0.18,-1,Touch,0.8080654,HIT
4,0.3,0.1,1,Pinch,0.75173,HIT
5,0.6,0.1,1,Touch,0.6282692,HIT
6,0.3,0.18,1,Pinch,0.61063,HIT
7,0.6,0.18,1,Touch,0.5493698,HIT
8,0.3,0.1,-1,Pinch,0.4112148,HIT
9,0.6,0.1,-1,Touch,0.6287851,HIT
10,0.3,0.18,-1,Pinch,0.3457966,HIT
11,0.6,0.18,-1,Touch,0.8342028,HIT
12,0.3,0.1,1,Pinch,0.7807331,HIT
13,0.6,0.1,1,Touch,0.7192669,HIT
14,0.3,0.18,1,Pinch,1.911791,HIT
15,0.6,0.18,1,Touch,2.428207,HIT
16,0.3,0.1,-1,Pinch,3.404816,HIT
17,0.6,0.1,-1,Touch,0.9351826,HIT
18,0.3,0.18,-1,Pinch,1.904568,HIT
19,0.6,0.18,-1,Touch,0.9354305,HIT
20,0.3,0.1,1,Pinch,1.43111,HIT
21,0.6,0.1,1,Touch,0.8688889,HIT
22,0.3,0.18,1,Pinch,0.9407845,HIT
23,0.6,0.18,1,Touch,0.7992153,HIT
24,0.3,0.1,-1,Pinch,1.219551,HIT
25,0.6,0.1,-1,Touch,0.740448,HIT
26,0.3,0.18,-1,Pinch,1.194016,HIT
27,0.6,0.18,-1,Touch,0.6459846,HIT
28,0.3,0.1,1,Pinch,0.8575745,HIT
29,0.6,0.1,1,Touch,0.7024231,HIT
30,0.3,0.18,1,Pinch,0.7875519,HIT
31,0.6,0.18,1,Touch,0.8124504,HIT
0,0.3,0.1,-1,Pinch,2.566439,HIT
1,0.6,0.1,-1,Touch,0.6335602,HIT
2,0.3,0.18,-1,Pinch,0.8858247,HIT
3,0.6,0.18,-1,Touch,0.7541747,HIT
4,0.3,0.1,1,Pinch,0.7923813,HIT
5,0.6,0.1,1,Touch,0.7676182,HIT
6,0.3,0.18,1,Pinch,0.7642698,HIT
7,0.6,0.18,1,Touch,0.7557297,HIT
8,0.3,0.1,-1,Pinch,1.081771,HIT
9,0.6,0.1,-1,Touch,0.8782282,HIT
10,0.3,0.18,-1,Pinch,2.25399,HIT
11,0.6,0.18,-1,Touch,1.506009,HIT
12,0.3,0.1,1,Pinch,2.36393,HIT
13,0.6,0.1,1,Touch,0.8760681,HIT
14,0.3,0.18,1,Pinch,0.9892044,HIT
15,0.6,0.18,1,Touch,0.9507961,HIT
16,0.3,0.1,-1,Pinch,0.8730717,HIT
17,0.6,0.1,-1,Touch,0.8669262,HIT
18,0.3,0.18,-1,Pinch,0.789175,HIT
19,0.6,0.18,-1,Touch,0.8108253,HIT
20,0.3,0.1,1,Pinch,1.570177,HIT
21,0.6,0.1,1,Touch,0.7498226,HIT
22,0.3,0.18,1,Pinch,2.145765,HIT
23,0.6,0.18,1,Touch,1.734232,HIT
24,0.3,0.1,-1,Pinch,1.606625,HIT
25,0.6,0.1,-1,Touch,0.8333759,HIT
26,0.3,0.18,-1,Pinch,1.337908,HIT
27,0.6,0.18,-1,Touch,2.382092,HIT
28,0.3,0.1,1,Pinch,0.7225952,HIT
29,0.6,0.1,1,Touch,0.8774033,HIT
30,0.3,0.18,1,Pinch,5.00351,MISS
0,0.3,0.1,-1,Pinch,2.449447,HIT
1,0.6,0.1,-1,Touch,0.9505517,HIT
2,0.3,0.18,-1,Pinch,1.823923,HIT
3,0.6,0.18,-1,Touch,0.7760763,HIT
4,0.3,0.1,1,Pinch,1.131451,HIT
5,0.6,0.1,1,Touch,1.188548,HIT
6,0.3,0.18,1,Pinch,1.025738,HIT
7,0.6,0.18,1,Touch,1.334262,HIT
8,0.3,0.1,-1,Pinch,0.7256498,HIT
9,0.6,0.1,-1,Touch,1.854349,HIT
10,0.3,0.18,-1,Pinch,1.110965,HIT
11,0.6,0.18,-1,Touch,1.009034,HIT
12,0.3,0.1,1,Pinch,0.953908,HIT
13,0.6,0.1,1,Touch,1.546091,HIT
14,0.3,0.18,1,Pinch,1.850586,HIT
15,0.6,0.18,1,Touch,5.005508,MISS
0,0.3,0.1,-1,Pinch,2.507417,HIT
1,0.6,0.1,-1,Touch,1.512581,HIT
2,0.3,0.18,-1,Pinch,0.7731948,HIT
3,0.6,0.18,-1,Touch,1.686804,HIT
4,0.3,0.1,1,Pinch,1.140003,HIT
5,0.6,0.1,1,Touch,1.279996,HIT
6,0.3,0.18,1,Pinch,2.061247,HIT
7,0.6,0.18,1,Touch,1.058752,HIT
8,0.3,0.1,-1,Pinch,1.669808,HIT
9,0.6,0.1,-1,Touch,1.090191,HIT
10,0.3,0.18,-1,Pinch,5.004633,MISS
0,0.3,0.1,-1,Pinch,5.005502,MISS
1,0.6,0.1,-1,Touch,2.594495,HIT
2,0.3,0.18,-1,Pinch,1.511637,HIT
3,0.6,0.18,-1,Touch,0.7483625,HIT
4,0.3,0.1,1,Pinch,1.410149,HIT
5,0.6,0.1,1,Touch,0.9098501,HIT
6,0.3,0.18,1,Pinch,0.9137716,HIT
7,0.6,0.18,1,Touch,0.6662283,HIT
8,0.3,0.1,-1,Pinch,0.8516684,HIT
9,0.6,0.1,-1,Touch,0.8083305,HIT
10,0.3,0.18,-1,Pinch,0.9314976,HIT
11,0.6,0.18,-1,Touch,0.8085022,HIT
12,0.3,0.1,1,Pinch,0.9733505,HIT
13,0.6,0.1,1,Touch,0.8666477,HIT
14,0.3,0.18,1,Pinch,0.8038387,HIT
15,0.6,0.18,1,Touch,1.056162,HIT
16,0.3,0.1,-1,Pinch,0.8371449,HIT
17,0.6,0.1,-1,Touch,0.8828545,HIT
18,0.3,0.18,-1,Pinch,0.8709927,HIT
19,0.6,0.18,-1,Touch,0.9290066,HIT
20,0.3,0.1,1,Pinch,2.356483,HIT
21,0.6,0.1,1,Touch,0.9635143,HIT
22,0.3,0.18,1,Pinch,0.8600426,HIT
23,0.6,0.18,1,Touch,0.8599567,HIT
24,0.3,0.1,-1,Pinch,2.202448,HIT
25,0.6,0.1,-1,Touch,1.437553,HIT
26,0.3,0.18,-1,Pinch,0.9846764,HIT
27,0.6,0.18,-1,Touch,0.9353218,HIT
28,0.3,0.1,1,Pinch,0.7907753,HIT
29,0.6,0.1,1,Touch,0.7492218,HIT
30,0.3,0.18,1,Pinch,0.8657036,HIT
31,0.6,0.18,1,Touch,0.6542969,HIT
0,0.3,0.1,-1,Pinch,2.527742,HIT
1,0.6,0.1,-1,Touch,0.8922572,HIT
2,0.3,0.18,-1,Pinch,1.030349,HIT
3,0.6,0.18,-1,Touch,0.7096496,HIT
4,0.3,0.1,1,Pinch,1.129381,HIT
5,0.6,0.1,1,Touch,0.9106188,HIT
6,0.3,0.18,1,Pinch,0.5652075,HIT
7,0.6,0.18,1,Touch,0.8947921,HIT
8,0.3,0.1,-1,Pinch,0.5810471,HIT
9,0.6,0.1,-1,Touch,0.9389524,HIT
10,0.3,0.18,-1,Pinch,0.8843746,HIT
11,0.6,0.18,-1,Touch,1.395624,HIT
12,0.3,0.1,1,Pinch,0.9434395,HIT
13,0.6,0.1,1,Touch,0.7165604,HIT
14,0.3,0.18,1,Pinch,0.8838625,HIT
15,0.6,0.18,1,Touch,0.6561365,HIT
16,0.3,0.1,-1,Pinch,0.7918568,HIT
17,0.6,0.1,-1,Touch,0.7481422,HIT
18,0.3,0.18,-1,Pinch,0.7274227,HIT
19,0.6,0.18,-1,Touch,0.7125778,HIT
20,0.3,0.1,1,Pinch,0.7492046,HIT
21,0.6,0.1,1,Touch,0.7107944,HIT
22,0.3,0.18,1,Pinch,0.6671715,HIT
23,0.6,0.18,1,Touch,0.7128277,HIT
24,0.3,0.1,-1,Pinch,0.7906628,HIT
25,0.6,0.1,-1,Touch,0.7693367,HIT
26,0.3,0.18,-1,Pinch,0.7897739,HIT
27,0.6,0.18,-1,Touch,0.8102264,HIT
28,0.3,0.1,1,Pinch,0.8325977,HIT
29,0.6,0.1,1,Touch,0.7274017,HIT
30,0.3,0.18,1,Pinch,0.8731194,HIT
31,0.6,0.18,1,Touch,0.7268791,HIT
0,0.3,0.1,-1,Pinch,3.773341,HIT
1,0.6,0.1,-1,Touch,0.8066576,HIT
2,0.3,0.18,-1,Pinch,0.879436,HIT
3,0.6,0.18,-1,Touch,1.180563,HIT
4,0.3,0.1,1,Pinch,1.228105,HIT
5,0.6,0.1,1,Touch,0.8518939,HIT
6,0.3,0.18,1,Pinch,0.8324623,HIT
7,0.6,0.18,1,Touch,0.7275372,HIT
8,0.3,0.1,-1,Pinch,0.9437904,HIT
9,0.6,0.1,-1,Touch,0.7762098,HIT
10,0.3,0.18,-1,Pinch,0.6569281,HIT
11,0.6,0.18,-1,Touch,0.7030706,HIT
12,0.3,0.1,1,Pinch,0.689292,HIT
13,0.6,0.1,1,Touch,0.7107077,HIT
14,0.3,0.18,1,Pinch,0.7927141,HIT
15,0.6,0.18,1,Touch,0.6472864,HIT
16,0.3,0.1,-1,Pinch,0.716835,HIT
17,0.6,0.1,-1,Touch,0.6631641,HIT
18,0.3,0.18,-1,Pinch,0.6313877,HIT
19,0.6,0.18,-1,Touch,0.5886116,HIT
20,0.3,0.1,1,Pinch,0.6923676,HIT
21,0.6,0.1,1,Touch,0.7276325,HIT
22,0.3,0.18,1,Pinch,0.7615833,HIT
23,0.6,0.18,1,Touch,5.005365,MISS
0,0.3,0.1,-1,Pinch,5.013709,MISS
1,0.6,0.1,-1,Touch,1.319449,HIT
2,0.3,0.18,-1,Pinch,0.7104483,HIT
3,0.6,0.18,-1,Touch,0.8186426,HIT
4,0.3,0.1,1,Pinch,2.75667,HIT
5,0.6,0.1,1,Touch,2.418186,HIT
6,0.3,0.18,1,Pinch,1.01601,HIT
7,0.6,0.18,1,Touch,2.497465,HIT
8,0.3,0.1,-1,Pinch,1.420031,HIT
9,0.6,0.1,-1,Touch,3.749628,HIT
10,0.3,0.18,-1,Pinch,0.5982037,HIT
11,0.6,0.18,-1,Touch,4.370255,HIT
12,0.3,0.1,1,Pinch,0.9074898,HIT
13,0.6,0.1,1,Touch,3.374153,HIT
14,0.3,0.18,1,Pinch,0.515358,HIT
15,0.6,0.18,1,Touch,1.371616,HIT
16,0.3,0.1,-1,Pinch,5.012077,MISS
17,0.6,0.1,-1,Touch,5.01141,MISS
18,0.3,0.18,-1,Pinch,5.011177,MISS
19,0.6,0.18,-1,Touch,5.011696,MISS
